Post Type,Title,Author,Timestamp,Thread Link,Reply Author,Reply Message
Reply,"how to send Esc code to Epson LQ-590II for draft, courier, etc.",Steve Yu,"Feb 28, 2025 at 8:42 PM",https://www.tek-tips.com/threads/how-to-send-esc-code-to-epson-lq-590ii-for-draft-courier-etc.1833251/,Joe Crescenzi,"Most printers today still respond to variations of the same coding languages they had for decades.  The difference is how programs interact with them.When I first started writing code around 1981, there was no such thing as a printer driver.  You took the printer out of the box, and the book for the printer gave you a list of the codes to control things like font choices and sizes.  The key here is that font choices had to be among those *built-in* to the printer.You would need to know the specific fonts and sizes your printer supported and what codes changed them.  The closest thing to a ""driver"" for me was tracking whether they had an Epson or Okidata printer in my own set of variables such as ""FontBold"", ""FontNormal"", ""FontCondensed"", etc., then swapping those variables based on a the printer they owned .When graphic operating systems with unlimited fonts came along, they were able to ignore the limitations of the built-in fonts by making extensive use of the coding needed to send graphics, so instead of telling the printer to change to condensed, it could *draw* letters anywhere on the page alongside any other graphics with pixel perfect precision.When you use the Generic Text Only printer driver, it fundamentally removes the ability to use things like SET PRINTER FONT that let Windows send any font you have installed to the printer and puts you back into the driver's seat when it comes to controlling the printer and using just the built-in font sizes."
Reply,"how to send Esc code to Epson LQ-590II for draft, courier, etc.",Steve Yu,"Feb 28, 2025 at 8:42 PM",https://www.tek-tips.com/threads/how-to-send-esc-code-to-epson-lq-590ii-for-draft-courier-etc.1833251/,Gary Sutherland,Have you tried sending Ctrl Z ?
Reply,"how to send Esc code to Epson LQ-590II for draft, courier, etc.",Steve Yu,"Feb 28, 2025 at 8:42 PM",https://www.tek-tips.com/threads/how-to-send-esc-code-to-epson-lq-590ii-for-draft-courier-etc.1833251/,Steve Yu,Gary Sutherland said:Have you tried sending Ctrl Z ?Click to expand...Nope. What does it do ?
Reply,"how to send Esc code to Epson LQ-590II for draft, courier, etc.",Steve Yu,"Feb 28, 2025 at 8:42 PM",https://www.tek-tips.com/threads/how-to-send-esc-code-to-epson-lq-590ii-for-draft-courier-etc.1833251/,Joe Crescenzi,"Control-C is the ASCII code for End of File.We've had quite a few responses, so I'm not sure which issues you are still having and which suggestions you tried.  One thing I can say is that FormFeed, CHR(12) is definitely a universal command that tells a printer your page is complete, so it can start a new page, so if you haven't tried sending that, you may want to give it a try.  EJECT should have the same effect."
Question,sorting,Mandy_crw,"Feb 28, 2025 at 11:34 AM",https://www.tek-tips.com/threads/sorting.1833245/,Mandy_crw,"Hi everyone... i have grade as field as character which are 0,1,2,3,4,5,6,7,8,9,10,11,12.... but everytime i sort using set order , order by and index... it display 0,1,10,11,12,2,3,4,5,6,7,8,9.... may i ask how to sort from 0-12? thanks and advanced...."
Reply,sorting,Mandy_crw,"Feb 28, 2025 at 11:34 AM",https://www.tek-tips.com/threads/sorting.1833245/,Chriss Miller,"Right align the values, i.e. store "" 1"", not ""1 "", "" 2"", not ""2 "", etc.Or simpler: Use an integer or numeric field for grades."
Reply,sorting,Mandy_crw,"Feb 28, 2025 at 11:34 AM",https://www.tek-tips.com/threads/sorting.1833245/,Joe Crescenzi,"If the values are text based instead of numbers, 1, 10, 11, 100, or even 10000000 will sort before 2.You will either need to make them numbers, or pad the text based values with zeros or even spaces before sorting.The number of pads will depend on your largest value.  So, if your largest value is 100, all your numbers need to be padded 3 characters.Code:So this...
? PADL(1,3)
? PADL(12,3)
? PADL(123,3)

Will look like this...
  1
 12
123"
Reply,sorting,Mandy_crw,"Feb 28, 2025 at 11:34 AM",https://www.tek-tips.com/threads/sorting.1833245/,gbcpastor,"I've had this situation several times years ago. What I got in the habit of doing was using a leading zero in my text fields so I would have values that looked like this:01020304050607080910111213...That's if I wished to keep the values as text. Otherwise, just use the val() function in your sort. Either way will give you the expected results.Keep On Codin'Pastor Steve"
Reply,sorting,Mandy_crw,"Feb 28, 2025 at 11:34 AM",https://www.tek-tips.com/threads/sorting.1833245/,EinTerraner,in case this field has no additional chars except the numeric ones just set INDEX ON VAL(fieldname)
Reply,sorting,Mandy_crw,"Feb 28, 2025 at 11:34 AM",https://www.tek-tips.com/threads/sorting.1833245/,Chriss Miller,"Mandy,I hope the major point is clear now. You're defining the grade field as character, so text sorting rules.You do expect a dictionary to sort all words with a before all words with b, don't you? You don't expect the dictionary to sort a,b,c,d,e,f,..,z,aa,ab,ac,.., etc.Do you? Would you like to first need to count the number of letters of a word to be able to look it up in a dictionary? No, you don't. Or do you?In text sorting the inital letter (also if that's a digit) has the major importance, in number notation that's also true, in general, but the longer the numbers get the higher the weight of the first digit, i.e. a three-digit number starting with 1 comes before a two-digit number, even if that begins with 9. That's not so with words, the word length of a word doesn't scale the weight of letters, all a-words come before all b-words, no matter if they are longer or shorter.So you can only expect numeric sortfing for numeric fields or formatting text so the text sorting has the same order as numeric sorting or you determine the text value, that will sort text which represents numbers correctly, but would treat every other text as 0, not sorting it or sorting all text between positive and negative numbers.It's a very general rule of working without surprises like that to store data in the appropriate data type only, ever. You store numbers in integer, numeric, float, currency field type - what you need is specific, not only when you want to calculate with it but also when you want sort numerically vs alphabetically, compare them. And grades are numbers that you calculate with, normally, when you calculate the average grade, for example. That's also best done when storing grades in one of the available number formats. As average grades have decimal places, it would even not be wrong to store the simple integer grades into float fields, just so that you could also store an averyge of a class or of all homework of a student into such a field, too."
Reply,sorting,Mandy_crw,"Feb 28, 2025 at 11:34 AM",https://www.tek-tips.com/threads/sorting.1833245/,ggreen61,"Create the following index on your field that contains the grade value (where grade is the field name):Code:INDEX ON PADL(ALLTRIM(grade), 10, '0') TAG gradeNow use this index to set the order for display.  If you want to select the records then use the same PADL() expression in the ORDER BY clause."
Reply,sorting,Mandy_crw,"Feb 28, 2025 at 11:34 AM",https://www.tek-tips.com/threads/sorting.1833245/,igorsandler,"Mandy_crw said:Hi everyone... i have grade as field as character which are 0,1,2,3,4,5,6,7,8,9,10,11,12.... but everytime i sort using set order , order by and index... it display 0,1,10,11,12,2,3,4,5,6,7,8,9.... may i ask how to sort from 0-12? thanks and advanced....Click to expand...Mandy_crw said:Hi everyone... i have grade as field as character which are 0,1,2,3,4,5,6,7,8,9,10,11,12.... but everytime i sort using set order , order by and index... it display 0,1,10,11,12,2,3,4,5,6,7,8,9.... may i ask how to sort from 0-12? thanks and advanced....Click to expand...If you need to sort a view or a cursor, you can add an additional field to it INT(VAL(grade)) AS igrade_sort. If you need to order a table then you need to create an index, like it was suggested above. I am using it all the time"
Reply,sorting,Mandy_crw,"Feb 28, 2025 at 11:34 AM",https://www.tek-tips.com/threads/sorting.1833245/,Steve Yu,"Mandy_crw said:Hi everyone... i have grade as field as character which are 0,1,2,3,4,5,6,7,8,9,10,11,12.... but everytime i sort using set order , order by and index... it display 0,1,10,11,12,2,3,4,5,6,7,8,9.... may i ask how to sort from 0-12? thanks and advanced....Click to expand...index on str(val(grade),2) tag tag1"
Reply,sorting,Mandy_crw,"Feb 28, 2025 at 11:34 AM",https://www.tek-tips.com/threads/sorting.1833245/,Mandy_crw,"Hi everyone... thank you for all your answers.... i have used your method steve yu,... and it worked as i desire.... thank you so much steve yu.... God bless..."
Question,Command History not saved if VFP closed by shutdown,rbeitler,"Feb 26, 2025 at 3:09 PM",https://www.tek-tips.com/threads/command-history-not-saved-if-vfp-closed-by-shutdown.1833224/,rbeitler,"I use VFP IDE on our server.  If I use QUIT in command window, command history is saved properly.  This is also true if use close the IDE with the ""X"" button, or right click in taskbar and choose close window.However, if the computer is rebooted by someone else (like for updates, etc) the command history is not saved.  I am guessing the vfp9.exe process is terminated so it is not running the normal shutdown routine.  This is very frustrating when you have days or weeks of command history that you need to see!Has anyone else seen this behavior, and is there a way to fix it?  Perhaps using ON SHUTDOWN?"
Reply,Command History not saved if VFP closed by shutdown,rbeitler,"Feb 26, 2025 at 3:09 PM",https://www.tek-tips.com/threads/command-history-not-saved-if-vfp-closed-by-shutdown.1833224/,Joe Crescenzi,"If you are concerned about saving history, just keep in mind that your history is stored in a simple PRG file called _Command.Prg.  So, you can periodically back it up, or as you suggested, perhaps make a copy on shutdown."
Reply,Command History not saved if VFP closed by shutdown,rbeitler,"Feb 26, 2025 at 3:09 PM",https://www.tek-tips.com/threads/command-history-not-saved-if-vfp-closed-by-shutdown.1833224/,GTGeek88,"That's long been a problem. It's frustrating when VFP crashes or the computer reboots for an update and you lose those commands. The 64K limit has also been bothersome. There are likely solutions like setting up a macro to save the command history to a file (besides _command.prg). Also, you can simply quit and restart at lunch and when you leave work. Or, heck, every damn hour. I'm jumping back and forth between projects, so I switch folders with a CD, open various VFP forms, classes, and reports, etc., but before I do, I use an on key label setup of F7 that does this:on key label F7 keyboard ""* "" + cdow(date()) + "" "" + ttoc(datetime())  && + ""(Enter}""This lets me find the switches when I look back over the code and is helpful with billing, since I sometimes forget to record my start/stop times. At least I have something to go on."
Reply,Command History not saved if VFP closed by shutdown,rbeitler,"Feb 26, 2025 at 3:09 PM",https://www.tek-tips.com/threads/command-history-not-saved-if-vfp-closed-by-shutdown.1833224/,ggreen61,"When the machine is rebooted that is running VFP IDE, the VFP running process is terminated by the OS.  This is not an orderly shutdown that would allow the command history to be saved.  You would need to use a method as described above that the user can trigger to save the contents to a file.  You might also add a timer to the _SCREEN that would do this automatically in an interval that is started when VFP is started."
Reply,Command History not saved if VFP closed by shutdown,rbeitler,"Feb 26, 2025 at 3:09 PM",https://www.tek-tips.com/threads/command-history-not-saved-if-vfp-closed-by-shutdown.1833224/,Chriss Miller,"If the shutdown would simply cause no save of the command history, you would still have the history up to the last start of VFP. If your _command.prg (as mentioned by Joe) is emptied, then it's not just true the shutdown kills the process without an effect on the commdn history.I would look, whether your command history is really emptied or just not found or it's loaded from another directrory and your last or at least a quite recent state still exists elsewhere.Much of what has alredy been said can be found in the help topic of the Command Window in this paragraphCommand Window (Visual FoxPro)Persistence of Contents​The contents of theCommandwindow are saved to a file, _command.prg, automatically unless the noRecentDocHistory system policy is enabled or you are not using a FoxUser resource file. You can clear the window by selecting Clear from the Command Window shortcut menu. To enable its use by multiple instances of Visual FoxPro, the file is only read when starting Visual FoxPro, and written when exiting Visual FoxPro. The file is located in the same directory as the FoxUser resource file. You can determine or change the location of the resource file from the Options dialog box, File Locations tab, or via language using SET(""RESOURCE"") or SET RESOURCE respectively.Click to expand...It also literally tells about a case that can be the root cause of loosing the history: If you clear the command window with CTRL+A and DEL or with the context menu ""Clear"" and think you just clear the window for the current session, then close VFP normally, you actually shorten the _command.prg, the prg file really is just and simply the whole content of the Command Window at the moment of saving, there is no such thing as appending to _command.prg or keeping a history like a transction log.Knowing this, going forward you better backup your command history yourself and also take it as a way to redigate it to what you really want and need.I also like to point out that _command.prg also was a topic in the threadhttps://www.tek-tips.com/threads/settings-in-config-fpw.1832550/that was about wanting to have several _command.prg file or even individual names.So also when you switch the location of foxuser.dbf or delete and recreate it, but not in the same place but perhaps the default location you switch to another state of the _command.prg stored there or ""empty"" it indirectly. That's also a case where you can still find an untouched recent version. Just to be clear: If you recreate the foxuser.dbf to recover from a corrupt state of that table, you don't also delete the _command.prg, but when that changes the location of the foxuser you also change the location and thereby state of the _command.prg"
Reply,Command History not saved if VFP closed by shutdown,rbeitler,"Feb 26, 2025 at 3:09 PM",https://www.tek-tips.com/threads/command-history-not-saved-if-vfp-closed-by-shutdown.1833224/,rbeitler,"Thank you for all the replies.I also keep my own history file, periodically I add a line like:* 2/26/2025 Updated \u\work\_commandThen I search backward for the last comment I have like this, do a Ctrl+Shift+End to select everything from that point, and copy and past to my history file.  It is invaluable to have everything going back to rerun old queries, etc.So OS shutdowns are my only blind spot...  I do find myself quitting and restarting to make sure it gets saved to _command.prg, I guess I will try to make it a end of day habit.Does anyone know if ON SHUTDOWN code would be executed if the OS tries to end the vfp.exe process?  And even if it did, if the ""fresh"" commands are not in _command.prg how would vfp code get it from the command window?  Maybe simply having a QUIT in ON SHUTDOWN would execute the normal routine and save the history?  If I get time I will give it a try."
Reply,Command History not saved if VFP closed by shutdown,rbeitler,"Feb 26, 2025 at 3:09 PM",https://www.tek-tips.com/threads/command-history-not-saved-if-vfp-closed-by-shutdown.1833224/,Dan Olsson,"No offense, but why are OS shutdowns a problem? You don't let Windows decide when to do them, do you?When it want to update itself I always shut down all programs before I reboot."
Reply,Command History not saved if VFP closed by shutdown,rbeitler,"Feb 26, 2025 at 3:09 PM",https://www.tek-tips.com/threads/command-history-not-saved-if-vfp-closed-by-shutdown.1833224/,TamarGranor,"Do a lot of people really leave VFP running for days at a time? I shut it every time I'm done with it.Of course, I also shut down my development computer (which is a desktop) every night.Tamar"
Reply,Command History not saved if VFP closed by shutdown,rbeitler,"Feb 26, 2025 at 3:09 PM",https://www.tek-tips.com/threads/command-history-not-saved-if-vfp-closed-by-shutdown.1833224/,rbeitler,"VFP.exe is running on the server.  We started having file locking issues using SMB, so I have been using VFP directly on our server that hosts our application.  It is WAY faster.  We also set up RemoteApp for the users, and things have been much faster for them as well.With the RemoteApp, IT has been changing settings for screen lock etc, I think they put in a setting to automatically disconnect idle sessions after so many hours.  So I think that is what killed my VFP.exeOther scenario is leaving it open on a Friday and updates being installed over the weekend."
Reply,Command History not saved if VFP closed by shutdown,rbeitler,"Feb 26, 2025 at 3:09 PM",https://www.tek-tips.com/threads/command-history-not-saved-if-vfp-closed-by-shutdown.1833224/,wOOdy-Soft,"A regular server shutdown / restart will always close running programs gracefully. I.e. that's the same API call, which is triggered if you close VFP withe the closebox in upper right corner. This will also save your commandwindow to the _command.prg.  Editing in the CommandWindow always happens in Memory, only when saving it will copy the newer version back to file.  Unfortunately, the commandwindow has no separate ""Save"" enabled in the File-menu, but IMHO someone knowledgable could write an FLL which grabs that editor-handle and does a periodic saving.Only if you have a real VFP crash (c0005 etc) or a VFP session which is not responding to the Windows-Close API call (where then Windows will just delete the task to go on with Reboot), only then VFP is not able to perform it's Shutdown task and will not be able to close its files correctly."
Reply,Command History not saved if VFP closed by shutdown,rbeitler,"Feb 26, 2025 at 3:09 PM",https://www.tek-tips.com/threads/command-history-not-saved-if-vfp-closed-by-shutdown.1833224/,Chriss Miller,"rbeitler said:VFP.exe is running on the server.Click to expand...If multiple users use VFP from there, only one of them has to have the habit of clearing the command window, which indirectly clears the _command.prg. Well, or only stores the commands he did from then onwards. Also if a user decides to not use a foxuser.dbf and clears the file location of the resource file that clears the command window at each start. Keep in mind this is not a file VFP appends to, at shutdown, normal or otherwise graceful, VFP just stores the command window content to the file. The help on command window also says:Command Window (Visual FoxPro)(_command.prg is saved...) unless the noRecentDocHistory system policy is enabled or you are not using a FoxUser resource file.Click to expand...Using one vfp.exe for all users, your histories mix. So the best thing you can do is create your own foxuser.dbf and config.fpw in a user directory of yours to have your own _command.prg. Knowing it goes into the same directory as foxuser.dbf you then have your own."
Reply,Command History not saved if VFP closed by shutdown,rbeitler,"Feb 26, 2025 at 3:09 PM",https://www.tek-tips.com/threads/command-history-not-saved-if-vfp-closed-by-shutdown.1833224/,rbeitler,"On my PC and on the server the _command.prg and foxuser dbf are stored in user profile (C:\Users\<username>\AppData\Roaming\Microsoft\Visual FoxPro 9) so every user should be getting their own command history.As for closing vfp.exe gracefully, I just did a test.  I opened vfp IDE, entered a comment in command window, then did a reboot but left vfp open.  After reboot, it only have my previous history, not the new comment.  So at least for me this is the behavior.I was hoping running this would help:Code:ON SHUTDOWN QUITBut same thing, new commands were not saved if I rebooted while vfp was open.Can someone else try restarting while vfp is running to see if they observe the same behavior?Thanks"
Reply,Command History not saved if VFP closed by shutdown,rbeitler,"Feb 26, 2025 at 3:09 PM",https://www.tek-tips.com/threads/command-history-not-saved-if-vfp-closed-by-shutdown.1833224/,Chriss Miller,"It works as you say, but you just lose the added commands of the last session.rbeitler said:This is very frustrating when you have days or weeks of command history that you need to see!Click to expand...That's true, but what you describe now is not losing the history of weeks but just the commands used in the last VFP session. Or are you saying it's normal for your VFP sessions to last for weeks?Get used to closing down your applications and shut down, I promise you your computer will work better every day, not get into lagging because of running for a long time. Even now VFP runs on a server via RemoteApp, you use a server as a client. You don't shut down that server, you shut down your client, that in turn ends RemoteApps. If I remember correctly in RemoteDesktop sessions (with or without TS) you could turn off your computer, come back, reconnect and find your server desktop session still running. That seems to have changed from what RemoteDesktop was to RemoteApps now. But the server keeps running, doesn't it? So it's now actually only server shutdowns that would cause this.But if, as you say, other users, maybe admins do a shutdown (or Windows Update does), then the real problem is that you don't shut down your computer for weeks, nothing else.By the way, if you look for a pattern: Every second tuesday of a month is Windows Update aka Micorsoft Patchday. So at least shut down VFP IDE and your computer on the second Monday of a month."
Reply,Command History not saved if VFP closed by shutdown,rbeitler,"Feb 26, 2025 at 3:09 PM",https://www.tek-tips.com/threads/command-history-not-saved-if-vfp-closed-by-shutdown.1833224/,Chriss Miller,"wOOdy-Soft said:IMHO someone knowledgable could write an FLL which grabs that editor-handle and does a periodic saving.Click to expand...Not necessary. You can save the command window content this way:Code:Local lcCommandHistoryDir, llSafety

lcCommandHistoryDir = Justpath(Sys(2005))
Try
   llSafety = (Set(""Safety"")==""ON"")
   Set Safety Off
   Copy File (lcCommandHistoryDir+""\_command.prg"") To (lcCommandHistoryDir+""\_command.prg.bak"")
Catch
   If Empty(Sys(2005))
      Messagebox(""Without configuring a resource file no command history."",64,""No Command History"")
   Endif
Endtry

Show Window Command
Activate Window Command
Keyboard '{CTRL+A}'
Doevents

If Popup('ensurecopyworks')
   Deactivate Popup ensurecopyworks
Endif
Define Popup ensurecopyworks Shortcut Relative
Define Bar _MED_COPY Of ensurecopyworks Prompt ""\<Copy""
Activate Popup ensurecopyworks Nowait
Doevents
Keyboard '{CTRL+C}'
Doevents
Deactivate Popup ensurecopyworks

Strtofile(_Cliptext,lcCommandHistoryDir+""\_command.prg"",0)
If llSafety
   Set Safety On
EndIfWhy so complicated? Well, turns out after CTRL+A the copy menu item of the edit menu is grayed out (inactivated), so while CTRL+A did select all command window content, CTRL+C does not work to actually copy the selection into _cliptext. With the trick of defining a shortcut menu with the _MED_COPY system menu item you can trigger that with CTRL+C. It also requires all the Doevents.Now to have that at hand at all times you could make it a menu item, add this as PRG to your project, do both or even put it into a timer, though that would disrupt working in the IDE when suddenly the command window is activated and the _cliptext changes to it.One last important notice of caution: This is tested in my VFP IDE, if by any means any setting of VFP causes it not to work (or conditions like a closed command window - though I have Show Window, not only Activate Window) cause it to fail. Or any timing problems or flaky functionality of CTRL+C, the code does first backup _command.prg to _command.prg.bak. I ask you to verify that _command.prg is as you expect it to become before running it twice, otherwise that backup is overwritten by whatever is in the _cliptext instead of the command window content.So in short: Please test this on your computer and inspect the effect on the _command.prg before putting this into production.To verify it helps to add a last command or even just a comment into the command window and see if that gets into _command.prg (obviously it will only get into _command.prg.bak if you run this at least twice).To verify _command.prg just doCode:Modify Command (JustPath(Sys(2005))+""\_command.prg"")One more notice: Once you verified _command.prg close that, otherwise you could get into the trap that closing the IDE saves the state of the prg you have open as a normal PRG edit window and not what's in the actual command window. Might not happen, as saving the command window should be done last and you didn't modify the verified _command.prg state, but you never know.One idea verifying the copy step didn't fail is you check, whether _cliptext starts with _command.prg.bak and is longer than that backup. And/Or create a multi staging backup mechanism with bak1-bak9999 or whatever."
Question,Can someone help with meaning from VFP Help for ComReturnError,cfsjohn,"Feb 27, 2025 at 12:38 PM",https://www.tek-tips.com/threads/can-someone-help-with-meaning-from-vfp-help-for-comreturnerror.1833232/,cfsjohn,"VFP help for ComReturnError() says:COMRETURNERROR( ) FunctionExecuting COMRETURNERROR( ) places the specified text in the COM exception structure, aborts executing the current method, and returns control to the client. The Automation server remains in memory and the client can call more Automation server methods.I am confused about what ""aborts executing the current method, and returns control to the client"" means.My web service is a COM server. Let's call it ""ITFBO"". It calls other COM servers.So a hit to the ""server"" comes in.The appropriate endpoint is executed. An endpoint is just a method. Let's say the endpoint is ""GetBalance()"".The endpoint method calls a method in a different COM server to actually do what is necessary to get the balance. Let's call this COM server ""VFEITFBO"". The method that gets called is ""VFEGetBalance()"".VFEITFBO has an on error method.If any error occurs, ComReturnError gets executed.So, an error occurs while executing VFEITFBO's VFEGetBalance method. The ONERROR method is called and ComReturnError gets executed.Can you tell me exectly what happens? Where does code exection resume? Does VFEITFBO continue to run?Thanks,John"
